Comment,Designator,Footprint,Qty,LCSC
100n,C1,Capacitor_SMD:C_0603_1608Metric,1,C14663
1N4148WS,D1,Diode_SMD:D_SOD-323,1,C2128
LED,DR1,LED_SMD:LED_0603_1608Metric,1,C2286 
LED,DT1,LED_SMD:LED_0603_1608Metric,1,C72038
33,R1,Resistor_SMD:R_0805_2012Metric,1,C17634 
10,R2,Resistor_SMD:R_0805_2012Metric,1,C17415 
2.2K,"R3,R6",Resistor_SMD:R_0805_2012Metric,2,C17520
220,R4,Resistor_SMD:R_0805_2012Metric,1,C17557
470,R5,Resistor_SMD:R_0805_2012Metric,1,C17710
4.7k,"R7,R8",Resistor_SMD:R_0805_2012Metric,2,C17673
1M,"R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20",Resistor_SMD:R_0805_2012Metric,12,C17514
10K,"RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8",Plugin,8,C209770
SW_Omron_B3FS,SW1,Button_Switch_SMD:SW_SPST_Omron_B3FS-101xP,1,C2888769
H11L1,U1,Package_DIP:SMDIP-6_W9.53mm,1,C78589
74HC4051,U2,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,1,C9386
