Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0603_1608Metric",90.225000,-62.300000,180.000000,top
"D1","1N4148WS","D_SOD-323",126.200000,-70.900000,0.000000,top
"DR1","LED","LED_0603_1608Metric",73.200000,-34.700000,0.000000,top
"DT1","LED","LED_0603_1608Metric",84.600000,-34.700000,0.000000,top
"R1","33","R_0805_2012Metric",95.300000,-47.700000,90.000000,top
"R2","10","R_0805_2012Metric",83.000000,-37.600000,-90.000000,top
"R3","2.2K","R_0805_2012Metric",97.300000,-47.712500,90.000000,top
"R4","220","R_0805_2012Metric",82.300000,-44.700000,-90.000000,top
"R5","470","R_0805_2012Metric",71.000000,-41.700000,-90.000000,top
"R6","2.2K","R_0805_2012Metric",84.400000,-44.700000,90.000000,top
"R7","4.7k","R_0805_2012Metric",81.900000,-59.400000,-90.000000,top
"R8","4.7k","R_0805_2012Metric",79.400000,-59.400000,-90.000000,top
"R9","1M","R_0805_2012Metric",51.116663,-89.712500,-90.000000,top
"R10","1M","R_0805_2012Metric",74.772120,-89.712500,-90.000000,top
"R11","1M","R_0805_2012Metric",98.427577,-89.712500,-90.000000,top
"R12","1M","R_0805_2012Metric",122.083034,-89.712500,-90.000000,top
"R13","1M","R_0805_2012Metric",45.700000,-89.712500,-90.000000,top
"R14","1M","R_0805_2012Metric",69.300000,-89.700000,-90.000000,top
"R15","1M","R_0805_2012Metric",93.000000,-89.712500,-90.000000,top
"R16","1M","R_0805_2012Metric",116.600000,-89.712500,-90.000000,top
"R17","1M","R_0805_2012Metric",56.600000,-89.700000,-90.000000,top
"R18","1M","R_0805_2012Metric",80.300000,-89.700000,-90.000000,top
"R19","1M","R_0805_2012Metric",103.900000,-89.700000,-90.000000,top
"R20","1M","R_0805_2012Metric",127.600000,-89.700000,-90.000000,top
"RV1","10K","Potentiometer_Alps_RK09K_Single_Vertical",100.600000,-74.150000,-90.000000,top
"RV2","10K","Potentiometer_Alps_RK09K_Single_Vertical",124.100000,-74.150000,-90.000000,top
"RV3","10K","Potentiometer_Alps_RK09K_Single_Vertical",77.100000,-74.150000,-90.000000,top
"RV4","10K","Potentiometer_Alps_RK09K_Single_Vertical",124.100000,-92.900000,-90.000000,top
"RV5","10K","Potentiometer_Alps_RK09K_Single_Vertical",100.600000,-92.900000,-90.000000,top
"RV6","10K","Potentiometer_Alps_RK09K_Single_Vertical",77.100000,-92.900000,-90.000000,top
"RV7","10K","Potentiometer_Alps_RK09K_Single_Vertical",53.600000,-92.900000,-90.000000,top
"RV8","10K","Potentiometer_Alps_RK09K_Single_Vertical",107.800000,-56.700000,-90.000000,top
"SW1","SW_Omron_B3FS","SW_SPST_Omron_B3FS-101xP",117.850000,-64.200000,90.000000,top
"U1","H11L1","SMDIP-6_W9.53mm",127.240000,-63.335000,90.000000,top
"U2","74HC4051","SOIC-16_3.9x9.9mm_P1.27mm",87.245000,-68.875000,0.000000,top
